epoch,lr,train_total,char,ssim,perc,color,grad,tv,val_psnr,val_ssim,sec
20,7.472670160550847e-06,0.4765844029742618,0.14436058656767356,0.2965351765932039,1.8612121565397395,0.0893425201282425,0.25952784950996555,0.038467259232907794,-1.0,-1.0,86.09222865104675
21,7.185729670371603e-06,0.4733833028653333,0.14196154964697916,0.29582107760185417,1.8571381347123967,0.08842235406167633,0.2588820870272642,0.03820402278066721,-1.0,-1.0,86.28916525840759
22,6.890576474687263e-06,0.47622651190951815,0.14355219021266283,0.29823674816031787,1.861406291640082,0.08903580952738953,0.25918314376369467,0.038712270438757745,-1.0,-1.0,86.25386309623718
23,6.588648530198504e-06,0.47700469525054445,0.14372835273659507,0.2975713738868403,1.8682902618203052,0.08868473388124691,0.2597642432638379,0.039440524829334994,-1.0,-1.0,86.2411150932312
24,6.281416799501186e-06,0.4707431482194468,0.14157652224652295,0.2953324768432351,1.8407434048347695,0.08858932520067969,0.25646940410830255,0.038459390510133536,20.662224061552738,0.8010904788970947,385.3699703216553
25,5.97037808470444e-06,0.4715804977472438,0.14193109422922134,0.29446419519047407,1.849541278772576,0.08896154130614081,0.25571843219357865,0.03821229257859116,-1.0,-1.0,86.3845624923706
26,5.657047735161255e-06,0.47140606683354047,0.14074513589053653,0.29510569641756457,1.8536465764045715,0.0874933103575956,0.25803577172201736,0.03913688599023708,-1.0,-1.0,86.30395102500916
27,5.342952264838746e-06,0.46823631105727925,0.1406209673299346,0.292886279696642,1.8380647052166075,0.0874055381756016,0.2540149442678274,0.03848589387137529,-1.0,-1.0,86.29646492004395
28,5.0296219152955595e-06,0.4721580579183822,0.14138880263754103,0.2948625787746075,1.854718178510666,0.08827147154180809,0.25820823793494424,0.03917179675772786,-1.0,-1.0,86.19180965423584
29,4.7185832004988135e-06,0.46824568198170774,0.1407871486749067,0.2939013415990874,1.8318315848361615,0.08769918737803088,0.2548032959619927,0.03796729562414247,20.458726924091234,0.7981603145599365,385.4601981639862
30,4.411351469801495e-06,0.47040475211864297,0.143034472195215,0.2931134375028832,1.8355461643185726,0.0892624345196541,0.2532458416251249,0.038466780370664456,-1.0,-1.0,87.71501350402832
31,4.109423525312737e-06,0.4695007110577683,0.14056411017338896,0.2945554107427597,1.8485278272351553,0.0877235384203147,0.2528123758560003,0.03842686815187335,-1.0,-1.0,86.23747849464417
32,3.8142703296283963e-06,0.46514751190362974,0.13925839605373005,0.29219678078973016,1.8263940880464953,0.08669862229117127,0.25245393249531123,0.038247457835390124,-1.0,-1.0,86.12358832359314
