split,image,psnr,ssim,lpips,runtime_s
lolv2_real,low00709.png,24.106647070551173,0.7909524696487592,0.22998593747615814,0.4023756980895996
lolv2_real,low00710.png,25.916894758575467,0.8810470005729316,0.16837909817695618,0.4028897285461426
lolv2_real,low00711.png,25.959550404135857,0.8823946671921726,0.16640862822532654,0.4035768508911133
lolv2_real,low00712.png,14.051183198360208,0.8120469308930324,0.2131020724773407,0.4041311740875244
lolv2_real,low00713.png,14.10331566319707,0.8129078876257428,0.2112959772348404,0.4047267436981201
lolv2_real,low00714.png,24.636430007758648,0.8734459558256112,0.07160073518753052,0.4020974636077881
lolv2_real,low00715.png,24.85075075738349,0.8750020730465858,0.07356656342744827,0.40149521827697754
lolv2_real,low00716.png,20.52683146051011,0.8471218378951204,0.14430482685565948,0.4067056179046631
lolv2_real,low00717.png,19.985616830691654,0.7433270214163917,0.3218664228916168,0.40636777877807617
lolv2_real,low00718.png,28.10323985565811,0.8993601340109804,0.07665952295064926,0.4042057991027832
lolv2_real,low00719.png,28.236947848723975,0.9044551619192959,0.07218959927558899,0.4019174575805664
lolv2_real,low00720.png,18.274532116820488,0.8127892533707932,0.1501617133617401,0.40589141845703125
lolv2_real,low00721.png,17.449812310899357,0.8074436182109362,0.1511090248823166,0.4069523811340332
lolv2_real,low00722.png,19.181137194446986,0.8625625093470587,0.09523630142211914,0.40578389167785645
lolv2_real,low00723.png,19.140940718172256,0.8607246715563305,0.10366667807102203,0.3876304626464844
lolv2_real,low00724.png,18.984539166611263,0.760505842924991,0.18713918328285217,0.4039306640625
lolv2_real,low00725.png,19.017231498403312,0.7812924471805788,0.18188396096229553,0.4073648452758789
lolv2_real,low00726.png,18.565840893679905,0.8345327575341025,0.18363897502422333,0.40817832946777344
lolv2_real,low00727.png,20.782335030300054,0.8852940037540225,0.12863761186599731,0.4085354804992676
lolv2_real,low00728.png,20.212195958262626,0.8015508359056076,0.1737249344587326,0.40744590759277344
lolv2_real,low00729.png,30.372211556662386,0.9154754863738677,0.10918845236301422,0.40921783447265625
lolv2_real,low00730.png,29.369416556451185,0.9170969525453065,0.10530123859643936,0.41495394706726074
lolv2_real,low00731.png,27.981044973556518,0.8941787086198371,0.08263727277517319,0.4121367931365967
lolv2_real,low00732.png,27.239532673131222,0.8894957515682264,0.08312368392944336,0.41115903854370117
lolv2_real,low00733.png,29.68772023943054,0.8928121164953385,0.08338429778814316,0.4138779640197754
lolv2_real,low00734.png,29.433536173570907,0.892335721238883,0.08701425045728683,0.4122276306152344
lolv2_real,low00735.png,25.324764316863174,0.8385784010170365,0.09580421447753906,0.41286182403564453
lolv2_real,low00736.png,25.512268303695386,0.8476550345601587,0.09641201794147491,0.4138624668121338
lolv2_real,low00737.png,29.68314243476272,0.8616006115341238,0.10513872653245926,0.41507863998413086
lolv2_real,low00738.png,29.658201260260594,0.8674781441395801,0.10526130348443985,0.4113118648529053
lolv2_real,low00739.png,25.237808486223322,0.8069525324180981,0.27546560764312744,0.4139983654022217
lolv2_real,low00740.png,25.352901073131314,0.8057545560726432,0.27951326966285706,0.4149177074432373
lolv2_real,low00741.png,30.14049960138506,0.8226591410464795,0.1341438591480255,0.4182453155517578
lolv2_real,low00742.png,25.994709475996025,0.6964903005853188,0.33272701501846313,0.4183979034423828
lolv2_real,low00743.png,26.57901863866709,0.8475700597585846,0.16621056199073792,0.4144723415374756
lolv2_real,low00744.png,24.44859640391583,0.8030776242919311,0.2285425215959549,0.41786718368530273
lolv2_real,low00745.png,24.786402235208833,0.807304295295927,0.1815912425518036,0.42363595962524414
lolv2_real,low00746.png,24.56775246253229,0.7915917370475575,0.18834592401981354,0.4157238006591797
lolv2_real,low00747.png,23.6085912391216,0.8192369677689753,0.19629192352294922,0.4197511672973633
lolv2_real,low00748.png,23.93421231555203,0.8344900415809541,0.18833133578300476,0.4204261302947998
lolv2_real,low00749.png,24.79123540031253,0.7835974873004282,0.31151172518730164,0.4186265468597412
lolv2_real,low00750.png,24.12365809152021,0.7696405548411018,0.3049446940422058,0.4178328514099121
lolv2_real,low00751.png,21.24157687031857,0.7418243234708671,0.3186247646808624,0.4212627410888672
lolv2_real,low00752.png,22.455643932168954,0.7143206116174697,0.3634054362773895,0.4199259281158447
lolv2_real,low00753.png,13.84005577668555,0.6838885246479465,0.27930712699890137,0.42722034454345703
lolv2_real,low00754.png,13.672877231495281,0.6830541240746296,0.2848072350025177,0.4188823699951172
lolv2_real,low00755.png,15.135628056920456,0.6643840765220524,0.3405768871307373,0.42067766189575195
lolv2_real,low00756.png,14.803910611721065,0.658358272003397,0.3467124104499817,0.427386999130249
lolv2_real,low00757.png,22.659917984468358,0.7296232268918813,0.32715553045272827,0.42269086837768555
lolv2_real,low00758.png,23.08900981636999,0.6838177605800047,0.3697603940963745,0.4221916198730469
lolv2_real,low00759.png,22.97801136573692,0.7781650257992193,0.18347489833831787,0.42681026458740234
lolv2_real,low00760.png,17.954549121140914,0.7737281713365883,0.20923462510108948,0.4259977340698242
lolv2_real,low00761.png,20.91943400265055,0.7601214914335305,0.3032876253128052,0.4266793727874756
lolv2_real,low00762.png,22.61936159150498,0.7656887967772192,0.29650983214378357,0.43018341064453125
lolv2_real,low00763.png,21.215188561612706,0.7430614719000355,0.2198951095342636,0.43277692794799805
lolv2_real,low00764.png,21.231588175796116,0.7444806133889195,0.2099825143814087,0.4293041229248047
lolv2_real,low00765.png,22.77870440144493,0.8147060830321892,0.1440676897764206,0.4293522834777832
lolv2_real,low00766.png,22.930610113472888,0.8241011907946413,0.14178366959095,0.4331998825073242
lolv2_real,low00767.png,18.367799179803654,0.5674118547570931,0.48835188150405884,0.43684959411621094
lolv2_real,low00768.png,18.75369628418804,0.6798196004211983,0.3714539110660553,0.43384313583374023
lolv2_real,low00769.png,26.523138901704062,0.8063092515192815,0.2879289388656616,0.43219661712646484
lolv2_real,low00770.png,26.251787497335034,0.800228294594676,0.29571783542633057,0.4383814334869385
lolv2_real,low00771.png,21.691490165915628,0.6217416481256427,0.2018599808216095,0.43701815605163574
lolv2_real,low00772.png,22.695498661614177,0.7109905185632277,0.20145373046398163,0.43673086166381836
